DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegIBlo,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
77,F,2019,2019,La Negra 110,13,EtaMes,1.005951485,1.162817509,0.935348339,1.102624,1.005294733,1.103838908,1.020036624,1.091921643,1.124134136,0.990757131,1.010357501,1.029385861
78,F,2019,2019,La Negra 110,14,EtaMes,1.053288432,1.152180686,0.994007813,1.116282369,1.072726949,0.959795069,1.045717365,1.134647161,1.033601275,1.039735408,1.061663732,0.997243391
79,F,2019,2019,La Negra 110,15,EtaMes,1.178452323,1.194574808,1.1357265,1.206534357,1.163235239,1.284687543,1.190264605,1.169285159,1.25102951,1.121245529,1.111424785,1.185196822
80,F,2019,2019,La Negra 110,16,EtaMes,1.188620068,1.173600209,1.18802953,1.198189183,1.201577338,1.110927695,1.206471281,1.218501976,1.134885762,1.135126537,1.147363323,1.160711795
81,F,2020,2020,La Negra 110,1,EtaMes,1.08605726,1.05863547,1.070822214,1.096484741,1.074753977,1.152138669,1.104328967,1.08004003,1.166965984,1.066084449,1.050199723,1.064638572
82,F,2020,2020,La Negra 110,2,EtaMes,1.033859971,1.057653758,1.06792549,1.051836021,1.063782386,1.026073678,1.086677448,1.099285219,1.001890643,1.010443623,1.026263417,1.036173448
83,F,2020,2020,La Negra 110,3,EtaMes,0.956856681,0.907167346,0.921125967,0.970081858,0.949625867,1.046646764,0.960050429,0.961520455,1.046246777,0.972646717,0.969359528,0.937417572
84,F,2020,2020,La Negra 110,4,EtaMes,0.91217907,0.918830645,0.927217134,0.911005082,0.930770404,0.91387338,0.931739308,0.96603666,0.90821531,0.947203294,0.953404527,0.943169541
85,F,2020,2020,La Negra 110,5,EtaMes,0.914164316,0.863703151,0.876355492,0.885525198,0.869209878,0.9966812,0.845229101,0.921921554,0.989640462,0.936525978,0.9284639,0.923234886
86,F,2020,2020,La Negra 110,6,EtaMes,0.987899291,0.964015962,0.978754677,0.909516481,0.96328921,0.940966337,0.953973827,0.954971959,0.915921862,0.962098743,0.965852015,1.03555832
87,F,2020,2020,La Negra 110,7,EtaMes,0.919290208,0.930146905,0.920868481,0.958187524,0.927131218,1.005698672,0.820662815,0.908612436,0.96775105,0.922646787,0.884486835,0.890498632
88,F,2020,2020,La Negra 110,8,EtaMes,0.976753826,0.994983653,0.989134604,0.936492718,0.99812195,0.926192645,0.988676243,0.933040997,0.91968743,0.958701536,0.955017527,0.968825332
89,F,2020,2020,La Negra 110,9,EtaMes,0.938670295,0.967308135,0.916748696,0.961962782,0.925632729,1.037173722,0.881594647,0.926827794,1.03464064,0.951583199,0.939517948,0.952132261
90,F,2020,2020,La Negra 110,10,EtaMes,0.988295063,0.989340374,0.97534298,0.951420593,0.981982162,0.954425805,1.02563226,0.96768918,0.960973027,1.008621145,0.994520801,0.976073858
91,F,2020,2020,La Negra 110,11,EtaMes,0.949273169,0.987103384,0.912661097,0.957505249,0.903874332,1.027428276,0.976286511,0.952884925,1.040999539,0.92212414,0.941170077,0.976676894
92,F,2020,2020,La Negra 110,12,EtaMes,1.002657776,0.968682219,0.988458702,0.980020336,0.972049984,0.910322256,1.02563226,0.980375609,0.953242308,0.985261524,0.999025026,0.989806157
93,F,2020,2020,La Negra 110,13,EtaMes,1.006009075,1.162798529,0.935352099,1.102693447,1.005321129,1.103841963,1.020059164,1.091946387,1.124169482,0.990765159,1.010331241,1.029423674
94,F,2020,2020,La Negra 110,14,EtaMes,1.053291125,1.152190414,0.994010755,1.116283132,1.072724646,0.959782401,1.045709107,1.134645047,1.033590023,1.039735631,1.061658107,0.997204309
95,F,2020,2020,La Negra 110,15,EtaMes,1.178463761,1.194608805,1.135708826,1.206535758,1.163242748,1.284708039,1.190236523,1.169286388,1.250987273,1.121214065,1.111397335,1.185215593
96,F,2020,2020,La Negra 110,16,EtaMes,1.188645329,1.173598922,1.188030898,1.198188739,1.201578972,1.110936301,1.20646093,1.218502753,1.134886149,1.135142529,1.147360126,1.160711767
97,F,2021,2021,La Negra 110,1,EtaMes,1.086078162,1.058620038,1.070810859,1.096463446,1.074738006,1.15212339,1.104323231,1.080040616,1.166958064,1.066115399,1.050248238,1.064650848
98,F,2021,2021,La Negra 110,2,EtaMes,1.033854485,1.057646979,1.067921729,1.051841291,1.063783917,1.026071077,1.086681456,1.099283715,1.00189014,1.010444057,1.026255593,1.036170152
99,F,2021,2021,La Negra 110,3,EtaMes,0.95686945,0.9071691,0.921135304,0.970075911,0.9496211,1.04664756,0.960047702,0.961530862,1.046256518,0.972640826,0.969377873,0.937408239
100,F,2021,2021,La Negra 110,4,EtaMes,0.912178893,0.918831473,0.927224222,0.91100673,0.930771118,0.913874896,0.931738555,0.966038255,0.908215955,0.947205178,0.953409746,0.943170715
101,F,2021,2021,La Negra 110,5,EtaMes,0.914217701,0.863702792,0.876338261,0.885546839,0.869180443,0.996677691,0.845217917,0.921935152,0.989631004,0.936542238,0.928446215,0.923240949
102,F,2021,2021,La Negra 110,6,EtaMes,0.987891983,0.964029675,0.978762567,0.909498173,0.963295796,0.940974831,0.953963959,0.954972854,0.915913657,0.962099099,0.965854735,1.035575465
103,F,2021,2021,La Negra 110,7,EtaMes,0.919299323,0.930153653,0.920886776,0.958179064,0.927140854,1.005682904,0.820643869,0.908611101,0.967761404,0.922619298,0.884535703,0.890496623
104,F,2021,2021,La Negra 110,8,EtaMes,0.976755531,0.994978978,0.989130815,0.936490566,0.998121487,0.926191458,0.988679211,0.933046783,0.919691024,0.958700024,0.954998468,0.968841915
105,F,2021,2021,La Negra 110,9,EtaMes,0.938677242,0.967323366,0.916723944,0.961976397,0.92562768,1.037178487,0.881593975,0.926838799,1.034628022,0.951571954,0.939510529,0.952127844
106,F,2021,2021,La Negra 110,10,EtaMes,0.988286194,0.989340517,0.975345317,0.951414504,0.981982558,0.954432949,1.025639491,0.96768271,0.960971173,1.008619842,0.994514776,0.976074598
107,F,2021,2021,La Negra 110,11,EtaMes,0.949247017,0.987068538,0.912592178,0.957520567,0.903891481,1.027455576,0.976279507,0.952859498,1.04098664,0.92211403,0.941170702,0.976689741
108,F,2021,2021,La Negra 110,12,EtaMes,1.002650246,0.968691305,0.988455131,0.980023208,0.972038048,0.910305892,1.025628468,0.98036615,0.953235848,0.985249559,0.999011952,0.989800622
109,F,2021,2021,La Negra 110,13,EtaMes,1.00595792,1.162802949,0.935425622,1.102719168,1.00531593,1.103833688,1.020038558,1.091928245,1.124166968,0.990774332,1.010309531,1.029407959
110,F,2021,2021,La Negra 110,14,EtaMes,1.053306319,1.152192083,0.994000396,1.116278221,1.072717256,0.959799576,1.045712461,1.134649411,1.033591428,1.039749598,1.06167821,0.997242248
111,F,2021,2021,La Negra 110,15,EtaMes,1.178462053,1.194594816,1.135707546,1.206531229,1.163254497,1.284693429,1.190278509,1.169296896,1.25102329,1.121245748,1.11141894,1.185195555
112,F,2021,2021,La Negra 110,16,EtaMes,1.188643776,1.173599376,1.188026422,1.198198248,1.201589827,1.110931138,1.206472591,1.218506727,1.134903118,1.135138065,1.147351517,1.16070087
113,F,2022,2022,La Negra 110,1,EtaMes,1.086054242,1.058626034,1.070815531,1.096502888,1.074762254,1.152133916,1.104309127,1.080014366,1.166964647,1.066097111,1.050209573,1.064647719
114,F,2022,2022,La Negra 110,2,EtaMes,1.033854292,1.057653315,1.06793215,1.051835778,1.063779458,1.026076361,1.086677734,1.099288365,1.001882027,1.010443253,1.026240101,1.036169232
115,F,2022,2022,La Negra 110,3,EtaMes,0.956879013,0.907168428,0.921135031,0.97007147,0.949614718,1.04664872,0.960052843,0.961525958,1.046262603,0.972637377,0.969364109,0.937410504
116,F,2022,2022,La Negra 110,4,EtaMes,0.912189355,0.918833036,0.927224671,0.911002429,0.930766614,0.913873836,0.931743774,0.966036792,0.908217021,0.947208748,0.953408141,0.943171406
117,F,2022,2022,La Negra 110,5,EtaMes,0.914213532,0.863726387,0.876322488,0.885529213,0.869211225,0.996687277,0.845217476,0.921895742,0.989662038,0.936549502,0.928444085,0.923200899
118,F,2022,2022,La Negra 110,6,EtaMes,0.98789357,0.964019992,0.978750084,0.909509282,0.963303957,0.940968869,0.953970983,0.95498477,0.915909984,0.962105071,0.965854649,1.035548233
119,F,2022,2022,La Negra 110,7,EtaMes,0.919288858,0.930152744,0.920879731,0.958198631,0.927137626,1.005685128,0.82065952,0.908615438,0.967755098,0.922667464,0.884540309,0.890513727
120,F,2022,2022,La Negra 110,8,EtaMes,0.976760597,0.994988041,0.989134761,0.936490114,0.998115912,0.926186685,0.988671688,0.933037151,0.919692812,0.958688789,0.954999476,0.968829566
121,F,2022,2022,La Negra 110,9,EtaMes,0.938673328,0.967316591,0.916734872,0.96196526,0.925626221,1.037170302,0.881611534,0.926837548,1.034630843,0.951570301,0.939516443,0.952133845
122,F,2022,2022,La Negra 110,10,EtaMes,0.988286499,0.989340583,0.975333579,0.951412911,0.981985796,0.95442759,1.025642433,0.967684061,0.960972196,1.008614686,0.994518963,0.976071976
123,F,2022,2022,La Negra 110,11,EtaMes,0.949249652,0.987069933,0.912590012,0.957530187,0.903884625,1.027420196,0.976256926,0.952861836,1.040992105,0.922125197,0.941160551,0.976691564
124,F,2022,2022,La Negra 110,12,EtaMes,1.002658154,0.968679418,0.988458968,0.98003447,0.972056017,0.910322053,1.025631776,0.980380159,0.953243587,0.985264806,0.999016918,0.989811597
125,F,2022,2022,La Negra 110,13,EtaMes,1.005962325,1.162782806,0.935386741,1.102741699,1.005286136,1.103843502,1.020023581,1.091937908,1.124174313,0.990776212,1.010355175,1.029391866
126,F,2022,2022,La Negra 110,14,EtaMes,1.05328639,1.152190814,0.994000466,1.116266839,1.072739351,0.95979332,1.045710439,1.134651964,1.033585037,1.03974786,1.061675705,0.997217019
127,F,2022,2022,La Negra 110,15,EtaMes,1.178457916,1.194571906,1.135714125,1.206541511,1.163248125,1.284691542,1.190244608,1.16932122,1.250987079,1.121227599,1.111423845,1.185206364
128,F,2022,2022,La Negra 110,16,EtaMes,1.188644288,1.173606675,1.188031717,1.19818596,1.201580148,1.110947068,1.206467637,1.218499847,1.134892084,1.135137572,1.147352005,1.160710744
129,F,2023,2023,La Negra 110,1,EtaMes,1.086073436,1.058630733,1.070814893,1.096517446,1.074753794,1.152116888,1.10432538,1.080022664,1.166963341,1.066084659,1.050240204,1.064637981
130,F,2023,2023,La Negra 110,2,EtaMes,1.033856294,1.057658853,1.067928091,1.051832649,1.063785219,1.026072683,1.086679088,1.099287308,1.001887331,1.010439659,1.026260989,1.036173095
131,F,2023,2023,La Negra 110,3,EtaMes,0.956871582,0.907171703,0.921136394,0.970070307,0.949621923,1.046640206,0.960050396,0.96152082,1.046256225,0.972625444,0.96936011,0.937410469
132,F,2023,2023,La Negra 110,4,EtaMes,0.912180148,0.918827924,0.927221888,0.911003008,0.930767455,0.913874317,0.931741595,0.966035176,0.908212482,0.947206814,0.953403706,0.943174895
133,F,2023,2023,La Negra 110,5,EtaMes,0.914215366,0.863720221,0.876354699,0.885539913,0.869209004,0.996695388,0.845222299,0.921927698,0.989636029,0.936530489,0.928491127,0.923240749
134,F,2023,2023,La Negra 110,6,EtaMes,0.98789716,0.964020339,0.978756378,0.909502055,0.963304388,0.940976398,0.953970432,0.954975929,0.915927956,0.962112234,0.965839407,1.035543148
135,F,2023,2023,La Negra 110,7,EtaMes,0.919306286,0.930139761,0.920875276,0.958192188,0.927129727,1.005696743,0.820660857,0.908606647,0.967752331,0.922647814,0.884499493,0.890516221
136,F,2023,2023,La Negra 110,8,EtaMes,0.976755203,0.994979643,0.989135809,0.936494053,0.998112809,0.92619196,0.988671247,0.933043991,0.919687317,0.958704669,0.955023367,0.968836243
137,F,2023,2023,La Negra 110,9,EtaMes,0.938658105,0.967320505,0.916726405,0.961973919,0.925638575,1.037159156,0.881594708,0.926830584,1.03464001,0.951580656,0.939520899,0.95213378
138,F,2023,2023,La Negra 110,10,EtaMes,0.988288106,0.989342035,0.975332834,0.951419731,0.981981896,0.95442942,1.025633518,0.967681806,0.960968616,1.008621066,0.994518775,0.976073136
139,F,2023,2023,La Negra 110,11,EtaMes,0.949251013,0.987064456,0.912606548,0.957546527,0.903872437,1.027424149,0.976266987,0.952886806,1.041002957,0.922123939,0.941187621,0.976690811
140,F,2023,2023,La Negra 110,12,EtaMes,1.002661115,0.968689588,0.988461255,0.980013305,0.972048317,0.910321151,1.025623223,0.98037689,0.953233467,0.985257963,0.999001275,0.989811984
141,F,2023,2023,La Negra 110,13,EtaMes,1.005978405,1.162807806,0.935410831,1.102666601,1.005333243,1.103865115,1.020054804,1.091956105,1.124169865,0.990751502,1.010297722,1.029350031
