DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
104,F,2024,2024,Chinchorro 066,0,EtaMes,0.056986921,0.054325172,0.050665658,0.053754854,0.055439267,0.054294558,0.05453246,0.054325191,0.055951224,0.062991351,0.057711095,0.055181623
105,F,2025,2025,Chinchorro 066,0,EtaMes,0.05705062,0.054385671,0.050720017,0.053812523,0.055497565,0.054351994,0.054591636,0.054383595,0.056011446,0.063039534,0.057755914,0.055223608
106,F,2026,2026,Chinchorro 066,0,EtaMes,0.05709286,0.054425814,0.050756122,0.053850777,0.055536284,0.054390133,0.054630887,0.054422478,0.056051631,0.063101487,0.057813269,0.055277652
107,F,2027,2027,Chinchorro 066,0,EtaMes,0.057147618,0.054477998,0.05080363,0.053901073,0.055587425,0.054440356,0.054682246,0.054473414,0.056104258,0.063170182,0.057876766,0.0553376
108,F,2028,2028,Chinchorro 066,0,EtaMes,0.057208501,0.054536074,0.050856711,0.053957253,0.055644634,0.054496482,0.054739523,0.054530236,0.056162962,0.063244356,0.057945243,0.055402345
109,F,2029,2029,Chinchorro 066,0,EtaMes,0.057274375,0.054598955,0.050914357,0.054018256,0.055706822,0.054557447,0.054801642,0.054591879,0.05622664,0.063331433,0.05802549,0.055478381
110,F,2030,2030,Chinchorro 066,0,EtaMes,0.057351937,0.054673068,0.05098259,0.054090443,0.055780526,0.054629626,0.054875026,0.054664719,0.056301874,0.063428834,0.058115164,0.055563445
111,F,2031,2031,Chinchorro 066,0,EtaMes,0.05743883,0.054756142,0.051059245,0.054171535,0.055863384,0.054710723,0.054957384,0.05474647,0.056386301,0.063534796,0.058212626,0.055656008
112,F,2032,*,Chinchorro 066,0,EtaMes,0.057533518,0.054846719,0.051143021,0.054260144,0.055954003,0.054799365,0.055047294,0.054835742,0.056478492,0.063652719,0.058320983,0.055759041
113,F,2017,2017,Condores 110,0,EtaMes,0.000052293,0.000052065,0.00005248,0.00005989,0.000061825,0.000061506,0.000059993,0.00005769,0.000056035,0.000048963,0.000047208,0.000047753
114,F,2018,2018,Condores 110,0,EtaMes,0.000051559,0.000051333,0.000051737,0.000059043,0.000060947,0.000060634,0.000059147,0.000056872,0.00005524,0.000048522,0.000046784,0.000047323
115,F,2019,2019,Condores 110,0,EtaMes,0.000051093,0.000050868,0.000051263,0.000058504,0.000060388,0.000060079,0.000058609,0.000056354,0.000054736,0.00004803,0.000046311,0.000046842
116,F,2020,2020,Condores 110,0,EtaMes,0.000050571,0.000050347,0.000050734,0.000057901,0.000059764,0.00005946,0.000058008,0.000055775,0.000054173,0.000047607,0.000045904,0.000046428
117,F,2021,2021,Condores 110,0,EtaMes,0.000050122,0.0000499,0.00005028,0.000057382,0.000059227,0.000058926,0.000057489,0.000055275,0.000053687,0.000047168,0.000045482,0.000046
118,F,2022,2022,Condores 110,0,EtaMes,0.000049658,0.000049437,0.00004981,0.000056847,0.000058672,0.000058375,0.000056954,0.00005476,0.000053187,0.000046772,0.000045102,0.000045614
119,F,2023,2023,Condores 110,0,EtaMes,0.000049239,0.000049019,0.000049386,0.000056363,0.000058172,0.000057877,0.000056471,0.000054294,0.000052735,0.000046369,0.000044715,0.000045221
120,F,2024,2024,Condores 110,0,EtaMes,0.000048812,0.000048594,0.000048956,0.000055872,0.000057663,0.000057372,0.00005598,0.000053821,0.000052276,0.000046069,0.000044426,0.000044928
121,F,2025,2025,Condores 110,0,EtaMes,0.000048494,0.000048278,0.000048635,0.000055505,0.000057283,0.000056995,0.000055613,0.000053469,0.000051933,0.000045864,0.000044228,0.000044727
122,F,2026,2026,Condores 110,0,EtaMes,0.000048277,0.000048061,0.000048415,0.000055255,0.000057024,0.000056737,0.000055363,0.000053227,0.000051699,0.000045665,0.000044037,0.000044533
123,F,2027,2027,Condores 110,0,EtaMes,0.000048067,0.000047852,0.000048204,0.000055013,0.000056774,0.000056488,0.000055121,0.000052995,0.000051473,0.00004547,0.00004385,0.000044343
124,F,2028,2028,Condores 110,0,EtaMes,0.000047861,0.000047647,0.000047996,0.000054776,0.000056528,0.000056244,0.000054883,0.000052766,0.000051251,0.00004528,0.000043667,0.000044158
125,F,2029,2029,Condores 110,0,EtaMes,0.00004766,0.000047447,0.000047793,0.000054545,0.000056289,0.000056006,0.000054652,0.000052543,0.000051035,0.000045092,0.000043486,0.000043974
126,F,2030,2030,Condores 110,0,EtaMes,0.000047461,0.000047249,0.000047593,0.000054316,0.000056052,0.00005577,0.000054423,0.000052323,0.000050821,0.000044904,0.000043304,0.00004379
127,F,2031,2031,Condores 110,0,EtaMes,0.000047261,0.00004705,0.000047392,0.000054086,0.000055815,0.000055534,0.000054193,0.000052102,0.000050606,0.000044722,0.000043129,0.000043612
128,F,2032,*,Condores 110,0,EtaMes,0.000047068,0.000046859,0.000047199,0.000053865,0.000055586,0.000055306,0.000053972,0.000051889,0.0000504,0.000044545,0.000042959,0.00004344
129,F,2017,2017,Dolores 110,0,EtaMes,0.000659143,0.00063402,0.000426817,0.000404037,0.000413256,0.000400656,0.00044125,0.000448785,0.000385976,0.000676983,0.000644993,0.000634299
130,F,2018,2018,Dolores 110,0,EtaMes,0.000650586,0.000625766,0.000421436,0.000399033,0.000408164,0.000395731,0.000435885,0.000443426,0.000381498,0.000671344,0.000639588,0.000628975
131,F,2019,2019,Dolores 110,0,EtaMes,0.000645082,0.000620455,0.00041795,0.000395786,0.000404858,0.000392536,0.0004324,0.000439947,0.000378582,0.000665068,0.000633568,0.000623044
132,F,2020,2020,Dolores 110,0,EtaMes,0.000638951,0.000614538,0.000414074,0.000392176,0.000401183,0.000388983,0.000428522,0.000436079,0.000375342,0.00065972,0.000628427,0.000617983
133,F,2021,2021,Dolores 110,0,EtaMes,0.000633716,0.000609489,0.000410786,0.000389118,0.000398072,0.000385971,0.000425236,0.000432809,0.000372615,0.000654177,0.0006231,0.000612742
134,F,2022,2022,Dolores 110,0,EtaMes,0.000628299,0.000604266,0.000407385,0.000385956,0.000394856,0.00038286,0.000421843,0.000429434,0.000369801,0.000649167,0.000618287,0.000608006
135,F,2023,2023,Dolores 110,0,EtaMes,0.000623402,0.000599543,0.000404306,0.00038309,0.000391941,0.00038004,0.000418765,0.00042637,0.000367242,0.000644107,0.000613419,0.000603219
136,F,2024,2024,Dolores 110,0,EtaMes,0.000618453,0.000594774,0.000401212,0.000380215,0.000389021,0.000377213,0.000415682,0.000423309,0.000364696,0.000640334,0.000609788,0.000599648
137,F,2025,2025,Dolores 110,0,EtaMes,0.000614762,0.000591217,0.000398905,0.00037807,0.000386841,0.000375102,0.00041338,0.000421023,0.000362794,0.00063775,0.000607301,0.000597204
