CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,1,2,3,4,5,6,7,8,9,10,11,12
119,F,2022,2022,*,CARBON_TARAPACA,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
120,F,2023,2023,*,CARBON_TARAPACA,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
121,F,2024,2024,*,CARBON_TARAPACA,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
122,F,2025,2025,*,CARBON_TARAPACA,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
123,F,2026,2026,*,CARBON_TARAPACA,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
124,F,2027,2027,*,CARBON_TARAPACA,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
125,F,2028,2028,*,CARBON_TARAPACA,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
126,F,2029,2029,*,CARBON_TARAPACA,CenCosVar,EtaMes,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,84.55,83.95,83.95,83.95
127,F,2030,2030,*,CARBON_TARAPACA,CenCosVar,EtaMes,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.95,83.93,83.93,83.93
128,F,2031,*,*,CARBON_TARAPACA,CenCosVar,EtaMes,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93,83.93
129,F,2016,2016,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22
130,F,2017,2017,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22
131,F,2018,2018,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22
132,F,2019,2019,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,102.22,103.24,103.24,103.24
133,F,2020,2020,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24
134,F,2021,2021,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,85.14,85.14,85.14
135,F,2022,2022,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.14,85.42,85.42,85.42
136,F,2023,2023,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.42,85.51,85.51,85.51
137,F,2024,2024,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.51,85.87,85.87,85.87
138,F,2025,2025,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,85.87,86.07,86.07,86.07
139,F,2026,2026,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,86.07,85.80,85.80,85.80
140,F,2027,2027,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.80,85.16,85.16,85.16
141,F,2028,2028,*,CARBON_TOCOPILLA,CenCosVar,EtaMes,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,85.16,84.55,84.55,84.55
