DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndIBlo,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
115,F,2022,2022,Alto Norte 110,3,EtaMes,1.007429772,0.990140483,0.995173078,0.998914487,1.040964602,1.078121531,1.009584717,0.98270973,1.089953704,1.015412362,1.000587831,1.016915476
116,F,2022,2022,Alto Norte 110,4,EtaMes,0.987789089,1.005448975,0.985981362,1.009128167,0.988924076,0.927818505,0.988365806,0.990505602,0.918332249,0.978955961,0.977433702,0.986317465
117,F,2022,2022,Alto Norte 110,5,EtaMes,0.998158108,1.022110723,0.991478369,1.018089641,1.0274881,1.087213709,1.001272691,1.009960452,1.139541679,1.00156573,0.999095507,1.006467548
118,F,2022,2022,Alto Norte 110,6,EtaMes,0.963423816,0.996365611,0.990828502,1.007554748,1.008528953,0.950519219,1.001449138,1.015762077,0.95881452,0.966939127,0.976826782,0.98043551
119,F,2022,2022,Alto Norte 110,7,EtaMes,1.049780384,1.025633227,0.999916239,1.037679393,1.035239622,1.103847983,1.018223083,1.03310061,1.128870768,1.011355387,1.02656926,1.021474538
120,F,2022,2022,Alto Norte 110,8,EtaMes,0.969983124,0.986923141,0.980620395,0.981016358,0.982772906,0.956730186,0.981045675,1.025670284,0.957855076,0.971228115,0.9930313,0.984744766
121,F,2022,2022,Alto Norte 110,9,EtaMes,1.065845351,1.042305546,1.030782313,1.038900976,1.042886323,1.140127856,1.039968015,1.046119603,1.130729034,1.076764661,1.027928675,1.069785777
122,F,2022,2022,Alto Norte 110,10,EtaMes,0.972555207,0.95359234,0.964880621,0.951278127,0.955592622,0.930386781,0.965659258,0.974517796,0.92516187,0.974214364,0.98546139,0.950669623
123,F,2022,2022,Alto Norte 110,11,EtaMes,1.047056235,1.037281324,1.052430675,1.051549915,1.022068848,1.146165822,1.04311967,1.069907262,1.138707513,1.048816261,1.060249583,1.069141419
124,F,2022,2022,Alto Norte 110,12,EtaMes,1.006210764,0.960870069,1.001086,0.957458227,0.961174763,0.930006355,0.977784291,0.952222837,0.94781147,0.983589963,1.001423283,0.967146495
125,F,2022,2022,Alto Norte 110,13,EtaMes,1.037648023,1.071265823,1.044153972,1.044253732,1.026261693,1.156513994,1.04043741,1.083122628,1.17875391,1.07255177,1.085075865,1.082968644
126,F,2022,2022,Alto Norte 110,14,EtaMes,1.023773423,1.010995688,1.014332884,0.979569388,0.990819175,0.92601055,1.009486773,1.004974836,0.972234513,1.034471526,1.039382019,1.021740685
127,F,2022,2022,Alto Norte 110,15,EtaMes,1.063646915,1.038730807,1.058191094,1.058685071,1.040398568,1.152497874,1.01664353,1.018040931,1.146182926,1.039401433,1.024587819,1.05785427
128,F,2022,2022,Alto Norte 110,16,EtaMes,1.019334345,1.010137565,1.031294408,1.003456892,1.01501788,0.954204653,1.028030943,0.984848271,0.948593692,0.985929138,0.989474698,1.005109728
129,F,2023,2023,Alto Norte 110,1,EtaMes,1.023512269,1.012493198,0.99453555,1.003976179,1.008894126,1.065817288,0.996133718,0.960453458,1.087754551,1.019290073,0.976776384,1.00384254
130,F,2023,2023,Alto Norte 110,2,EtaMes,0.983365235,0.989072593,0.988416396,0.981406421,0.972585381,0.924436424,1.010423405,0.965938373,0.93066594,0.987690878,0.987712682,0.97015115
131,F,2023,2023,Alto Norte 110,3,EtaMes,1.007427219,0.990141195,0.995170651,0.998915761,1.040967463,1.078121576,1.009584149,0.982711503,1.089952158,1.015414485,1.000590818,1.016916414
132,F,2023,2023,Alto Norte 110,4,EtaMes,0.987789376,1.005449774,0.98598016,1.009127626,0.988924671,0.92781902,0.988366327,0.990507125,0.918331112,0.978955848,0.977431946,0.986316929
133,F,2023,2023,Alto Norte 110,5,EtaMes,0.998160111,1.02211513,0.991474293,1.018091516,1.027485008,1.087213468,1.001276954,1.009957589,1.139535945,1.001562653,0.99909391,1.006467697
134,F,2023,2023,Alto Norte 110,6,EtaMes,0.963427716,0.996362895,0.99082911,1.007552241,1.008527302,0.950517767,1.00144868,1.015760889,0.958814973,0.966938771,0.976826083,0.980439703
135,F,2023,2023,Alto Norte 110,7,EtaMes,1.049784518,1.025628402,0.999917112,1.03767641,1.035239113,1.103851642,1.018223631,1.033100038,1.128869855,1.011350863,1.026570738,1.021475339
136,F,2023,2023,Alto Norte 110,8,EtaMes,0.969982088,0.986923333,0.980619599,0.981016612,0.982772232,0.956728593,0.981043519,1.025667826,0.957855145,0.97122509,0.993032915,0.984746879
137,F,2023,2023,Alto Norte 110,9,EtaMes,1.065843091,1.042306946,1.030786748,1.038900242,1.042884817,1.140126246,1.039966809,1.04611847,1.130728723,1.076762788,1.027928182,1.069784137
138,F,2023,2023,Alto Norte 110,10,EtaMes,0.972555215,0.953593223,0.964880672,0.951280294,0.955592778,0.930388466,0.965659859,0.974516452,0.925162333,0.974214707,0.985461658,0.950669089
139,F,2023,2023,Alto Norte 110,11,EtaMes,1.04706396,1.03727917,1.052433968,1.051544109,1.022068313,1.146162856,1.04311993,1.069904123,1.138705428,1.048821844,1.060248194,1.069141121
140,F,2023,2023,Alto Norte 110,12,EtaMes,1.00621046,0.960868454,1.001081465,0.957454102,0.961174172,0.930009317,0.97778549,0.952223674,0.947812499,0.98358832,1.001420329,0.967146672
141,F,2023,2023,Alto Norte 110,13,EtaMes,1.037651227,1.071272445,1.044167566,1.044254954,1.02626549,1.156507511,1.040443569,1.083128379,1.178756922,1.072545456,1.085074372,1.082974816
