DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
84,F,2025,2025,Ancoa 220,0,EtaMes,0.00122078,0.001245087,0.001212586,0.001152094,0.001207467,0.001304419,0.001373108,0.001382973,0.001571796,0.001784793,0.00165141,0.001425067
85,F,2026,2026,Ancoa 220,0,EtaMes,0.001223163,0.001247564,0.001214938,0.001154359,0.001209855,0.001307009,0.001375795,0.00138562,0.001574784,0.001787818,0.00165423,0.001427492
86,F,2027,2027,Ancoa 220,0,EtaMes,0.001225256,0.001249747,0.001217005,0.001156354,0.001211956,0.001309286,0.00137814,0.001387921,0.001577371,0.001790475,0.001656708,0.001429625
87,F,2028,2028,Ancoa 220,0,EtaMes,0.001227117,0.001251695,0.001218848,0.00115814,0.001213835,0.001311317,0.001380222,0.001389949,0.001579638,0.001792767,0.001658849,0.001431473
88,F,2029,2029,Ancoa 220,0,EtaMes,0.001228745,0.001253409,0.001220467,0.001159717,0.001215489,0.001313102,0.001382042,0.00139171,0.001581592,0.001794648,0.00166061,0.001433
89,F,2030,2030,Ancoa 220,0,EtaMes,0.001230118,0.001254865,0.001221843,0.001161064,0.001216898,0.001314617,0.001383574,0.001393175,0.001583195,0.00179623,0.001662092,0.0014343
90,F,2031,*,Ancoa 220,0,EtaMes,0.001231323,0.001256152,0.001223067,0.001162269,0.00121815,0.001315958,0.001384925,0.001394449,0.001584557,0.001797423,0.001663216,0.001435292
91,F,2017,2017,Apoquindo 110,0,EtaMes,0.021032891,0.022061395,0.023363505,0.023585412,0.02254773,0.021316633,0.020593696,0.019700211,0.01917561,0.018202987,0.017894582,0.018250231
92,F,2018,2018,Apoquindo 110,0,EtaMes,0.02063383,0.021705214,0.023028514,0.02280393,0.021746869,0.020506307,0.01970711,0.018880312,0.018156384,0.018151444,0.017746404,0.0183544
93,F,2019,2019,Apoquindo 110,0,EtaMes,0.020905849,0.02231555,0.023746418,0.023955034,0.022808865,0.021494181,0.020482607,0.019727839,0.018888084,0.017851779,0.017450261,0.018052667
94,F,2020,2020,Apoquindo 110,0,EtaMes,0.020572166,0.021969084,0.02338296,0.023589648,0.022456179,0.02115433,0.020154655,0.019409632,0.018576308,0.017665114,0.017266246,0.017865592
95,F,2021,2021,Apoquindo 110,0,EtaMes,0.020365636,0.021754424,0.023156106,0.02336257,0.022237653,0.020944926,0.019952078,0.019212052,0.01838196,0.017621285,0.017223406,0.017822141
96,F,2022,2022,Apoquindo 110,0,EtaMes,0.020317826,0.021705315,0.023103736,0.023310071,0.022187424,0.020896889,0.019904771,0.019164909,0.018334928,0.017577074,0.017180544,0.017778536
97,F,2023,2023,Apoquindo 110,0,EtaMes,0.020269608,0.021655545,0.023049822,0.023256763,0.022136495,0.020848531,0.019857048,0.019117269,0.018287733,0.017526175,0.017130989,0.017727883
98,F,2024,2024,Apoquindo 110,0,EtaMes,0.020213525,0.021597521,0.022987153,0.023194719,0.022077205,0.020792293,0.019801885,0.01906241,0.018233621,0.017491479,0.017097278,0.017693672
99,F,2025,2025,Apoquindo 110,0,EtaMes,0.020175791,0.021558562,0.022944886,0.023153015,0.022037363,0.020754532,0.019764835,0.019025377,0.01819694,0.017476412,0.017082834,0.017678798
100,F,2026,2026,Apoquindo 110,0,EtaMes,0.020159257,0.021541645,0.02292597,0.023134626,0.022019929,0.020738147,0.019748445,0.019008648,0.01818048,0.017458693,0.017065821,0.017661223
101,F,2027,2027,Apoquindo 110,0,EtaMes,0.020139781,0.021521627,0.022903714,0.023112829,0.021999255,0.020718687,0.019729037,0.018989027,0.018161244,0.017438713,0.017046544,0.017641294
102,F,2028,2028,Apoquindo 110,0,EtaMes,0.020117751,0.021498928,0.022878629,0.023088256,0.021975908,0.020696678,0.019707189,0.018967017,0.018139661,0.017416619,0.017025166,0.017619196
103,F,2029,2029,Apoquindo 110,0,EtaMes,0.020093311,0.021473716,0.022850901,0.023061029,0.021950011,0.020672234,0.019683041,0.01894278,0.018115915,0.01739143,0.017000716,0.017593934
104,F,2030,2030,Apoquindo 110,0,EtaMes,0.020065382,0.021444829,0.022819326,0.023029943,0.021920394,0.020644266,0.019655585,0.018915334,0.018089013,0.01736198,0.016972042,0.01756438
105,F,2031,*,Apoquindo 110,0,EtaMes,0.020032755,0.02141098,0.0227826,0.022993663,0.021885793,0.020611584,0.019623752,0.018883624,0.018057866,0.017330856,0.016941697,0.017533064
106,F,2017,2017,Araña 066,0,EtaMes,0.002139089,0.001964435,0.001947789,0.001873479,0.002009662,0.002229042,0.002387443,0.002762108,0.002818198,0.002818807,0.002797739,0.002741034
107,F,2018,2018,Araña 066,0,EtaMes,0.002196169,0.002009057,0.001993681,0.001938806,0.002082329,0.002318224,0.002476412,0.002860997,0.002903861,0.002920565,0.00289412,0.002799833
108,F,2019,2019,Araña 066,0,EtaMes,0.002235992,0.002029097,0.002012374,0.001934152,0.00208335,0.002330798,0.002487072,0.002868111,0.002916624,0.00295115,0.002923898,0.002829355
109,F,2020,2020,Araña 066,0,EtaMes,0.002260666,0.002052396,0.002035935,0.001956902,0.002107406,0.002356876,0.002514388,0.002899264,0.002947175,0.00297652,0.00294877,0.002853949
110,F,2021,2021,Araña 066,0,EtaMes,0.002281062,0.002071473,0.002055004,0.001975381,0.002127081,0.002378477,0.002537042,0.002925007,0.002972494,0.002985987,0.002958149,0.002863167
111,F,2022,2022,Araña 066,0,EtaMes,0.002288622,0.002078526,0.002061993,0.001982127,0.002134321,0.002386489,0.002545392,0.002934389,0.002981715,0.002996691,0.002968814,0.002873611
112,F,2023,2023,Araña 066,0,EtaMes,0.002297139,0.002086429,0.002069748,0.001989676,0.00214243,0.002395512,0.002554801,0.002944977,0.002992209,0.003009775,0.002981811,0.002886292
113,F,2024,2024,Araña 066,0,EtaMes,0.002307466,0.002095992,0.002079153,0.001998819,0.002152252,0.002406448,0.002566258,0.002957912,0.003005082,0.003020247,0.002992222,0.002896481
114,F,2025,2025,Araña 066,0,EtaMes,0.002315757,0.002103654,0.002086681,0.002006138,0.002160119,0.002415216,0.002575467,0.002968314,0.003015441,0.003027251,0.002999211,0.002903259
115,F,2026,2026,Araña 066,0,EtaMes,0.002321224,0.002108693,0.002091597,0.002010925,0.00216528,0.002420991,0.002581522,0.002975144,0.003022303,0.003034981,0.003006923,0.00291073
116,F,2027,2027,Araña 066,0,EtaMes,0.002327262,0.002114256,0.002097027,0.002016203,0.00217097,0.002427355,0.002588193,0.002982685,0.003029885,0.00304334,0.003015251,0.002918794
117,F,2028,2028,Araña 066,0,EtaMes,0.002333789,0.002120268,0.002102906,0.00202192,0.00217713,0.002434239,0.002595417,0.002990856,0.003038096,0.003052319,0.003024186,0.002927449
118,F,2029,2029,Araña 066,0,EtaMes,0.002340797,0.002126724,0.002109226,0.002028063,0.002183746,0.00244163,0.002603183,0.002999647,0.003046931,0.003062243,0.00303405,0.002937004
119,F,2030,2030,Araña 066,0,EtaMes,0.002348539,0.002133853,0.00211622,0.002034856,0.002191058,0.002449797,0.00261178,0.003009392,0.003056718,0.003073483,0.003045208,0.002947825
120,F,2031,*,Araña 066,0,EtaMes,0.002357318,0.002141931,0.002124165,0.002042566,0.002199353,0.002459059,0.00262156,0.003020489,0.003067849,0.003085071,0.003056704,0.002958969
121,F,2017,2017,Batuco 110,0,EtaMes,0.010664698,0.011427641,0.011038083,0.010775709,0.010152322,0.010832586,0.010899247,0.01117939,0.011082174,0.011195722,0.010564557,0.010585094
122,F,2018,2018,Batuco 110,0,EtaMes,0.009437711,0.010393278,0.009924068,0.009450721,0.00873023,0.00909905,0.009077074,0.009654844,0.009546027,0.008641511,0.008909861,0.008964917
123,F,2019,2019,Batuco 110,0,EtaMes,0.007732356,0.009123082,0.008455311,0.008336768,0.007493787,0.007320051,0.007476036,0.008369865,0.008195815,0.00855534,0.008814586,0.008873528
124,F,2020,2020,Batuco 110,0,EtaMes,0.007666,0.009038218,0.008383158,0.008268011,0.007437514,0.007262977,0.007413282,0.008288589,0.00811507,0.00849134,0.008745587,0.008806471
125,F,2021,2021,Batuco 110,0,EtaMes,0.007614284,0.008974838,0.008326785,0.008213682,0.007390747,0.007216152,0.007362919,0.008226841,0.008052925,0.008429756,0.008685427,0.008744418
126,F,2022,2022,Batuco 110,0,EtaMes,0.007554781,0.008912864,0.008265613,0.008151759,0.007329462,0.007155533,0.007302431,0.008165844,0.007990623,0.008362138,0.008619701,0.008676417
127,F,2023,2023,Batuco 110,0,EtaMes,0.007489104,0.008844576,0.008197756,0.008083256,0.007261487,0.007088423,0.007235567,0.00809874,0.007922234,0.008292271,0.008551501,0.008605907
128,F,2024,2024,Batuco 110,0,EtaMes,0.007421465,0.008773856,0.008127743,0.008012694,0.007191773,0.007019628,0.007166971,0.008029515,0.007851815,0.008242036,0.008502569,0.008555376
