LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
157,Cardones 500->Cardones 220 II,T,MesJun-2020,*,Cardones 500,Cardones 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.25,24.375,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC
158,Maitencillo 500->Maitencillo 220 II,T,MesJun-2020,*,Maitencillo 500,Maitencillo 220,*,F,F,101,F,F,750,750,T,T,T,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC
159,Pan de Azucar 500->Pan de Azucar 220 II,T,MesJun-2020,*,Pan de Azucar 500,Pan de Azucar 220,*,F,F,101,F,F,750,750,T,T,F,750,750,500,0.5,48.75,T,5,1,T,TxT,Ret,F,F,*,19.488,0.53,30,Transelec,SIC
160,Maitencillo 220->Maitencillo 220 Aux,T,MesEne-2018,MesMay-2021,Maitencillo 220,Maitencillo 220 Aux,*,F,F,101,F,F,394,394,T,T,T,225,225,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
161,Maitencillo 220->Don Hector 220 I,T,MesEne-2018,*,Maitencillo 220 Aux,Don Hector 220,*,F,F,101,F,F,394,394,T,T,T,225,225,220,3.771918457,15.02149585,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
162,Don Hector 220->Don Hector 220 Aux I,T,MesEne-2018,*,Don Hector 220,Don Hector 220 Aux,*,F,F,101,F,F,394,394,T,T,T,225,225,220,0,0.0001,T,5,1,F,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
163,Don Hector 220 Aux->Punta Colorada 220 I,T,MesEne-2018,*,Don Hector 220 Aux,Punta Colorada 220,*,F,F,101,F,F,394,394,T,T,T,225,225,220,1.590342604,6.333467992,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
164,Maitencillo 220->Maitencillo 220 Aux II,T,MesJun-2021,*,Maitencillo 220,Maitencillo 220 Aux,*,F,F,101,F,F,900,900,T,T,T,675,675,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
165,Maitencillo 220 Aux->Punta Colorada 220 II,T,MesJun-2021,*,Maitencillo 220 Aux,Punta Colorada 220,*,F,F,101,F,F,1000,1000,T,T,T,500,500,220,2.796141338,16.92615654,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
166,Punta Colorada 220->Punta Colorada 220 Aux,T,MesEne-2018,MesMay-2021,Punta Colorada 220,Punta Colorada 220 Aux,*,F,F,101,F,F,394,394,T,T,F,225,225,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
167,Punta Colorada 220 Aux->Pan de Azucar 220 I,T,MesEne-2018,*,Punta Colorada 220 Aux,Pan de Azucar 220,*,F,F,101,F,F,394,394,T,T,F,225,225,220,4.323992158,17.22010456,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
168,Punta Colorada 220->Punta Colorada 220 Aux II,T,MesJun-2021,*,Punta Colorada 220,Punta Colorada 220 Aux,*,F,F,101,F,F,900,900,T,T,T,675,675,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
169,Punta Colorada 220 Aux->Pan de Azucar 220 II,T,MesJun-2021,*,Punta Colorada 220 Aux,Pan de Azucar 220,*,F,F,101,F,F,1000,1000,T,T,F,500,500,220,2.254669446,13.64841164,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
170,Pan de Azucar 220->Pan de Azucar 220 Aux,T,*,MesDic-2017,Pan de Azucar 220,Pan de Azucar 220 Aux,*,F,F,101,F,F,448,448,T,T,T,400,224,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
171,Pan de Azucar 220 Aux->La Cebada 220,T,*,MesOct-2018,Pan de Azucar 220 Aux,La Cebada 220,*,F,F,101,F,F,224,224,T,T,T,224,224,220,11.42221813,51.03517505,T,5,1,T,TxT,Iny,F,F,*,0,0,30,Transelec,SIC
172,La Cebada 220->La Cebada 220 Aux,T,*,MesDic-2017,La Cebada 220,La Cebada 220 Aux,*,F,F,101,F,F,448,448,T,T,T,400,224,220,0,0.0001,T,5,1,F,TxT,Cmn,F,F,*,0,0,30,CNE,SIC
