LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux,LinAux,LinAux
83,Laberinto 220->Lomas Bayas 220,T,*,*,Laberinto 220,Lomas Bayas 220,BarB,F,F,101,F,F,209,209,F,F,F,209,209,220,0.904,4.164,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
84,Laberinto 220->Nueva Zaldivar 220 I,T,*,*,Laberinto 220,Nueva Zaldivar 220,BarB,F,F,101,F,F,293,293,T,F,F,293,293,220,7.5789,38.8395,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
85,Oeste 220->Laberinto 220,T,*,*,Oeste 220,Laberinto 220,BarA,F,F,101,F,F,242,242,T,F,F,242,242,220,7.68,35.39,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
86,Oeste 220->Oeste 110,T,*,*,Oeste 220,Oeste 110,*,F,F,101,F,F,55,55,F,F,F,55,55,220,0,131.12,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220/110
87,Oeste 110->Minsal 110,T,*,*,Oeste 110,Minsal 110,*,F,F,101,F,F,50,50,F,F,F,50,50,110,6.9894,13.959,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110
88,Minsal 110->Minsal 023,T,*,*,Minsal 110,Minsal 023,*,F,F,101,F,F,20,20,F,F,F,20,20,110,0,40.7165,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,110/23
89,Andes 220->Oeste 220,T,*,*,Andes 220,Oeste 220,*,F,F,101,F,F,242,242,T,F,F,242,242,220,3.4307,15.8024,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
90,Salta 345->Andes 345,T,*,*,Salta 345,Andes 345,*,F,F,101,F,F,777,777,T,F,F,777,777,345,11.46,143.19,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,345
91,Andes 345->Andes 220,T,*,*,Andes 345,Andes 220,*,F,F,101,F,F,750,750,T,F,F,750,750,345,0,18.0918,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,354/220
92,Andes 220->Nueva Zaldivar 220,T,*,*,Andes 220,Nueva Zaldivar 220,*,F,F,101,F,F,634,634,T,F,F,634,634,220,1.7218,12.485,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
93,Nueva Zaldivar 220->Zaldivar 220,T,*,*,Nueva Zaldivar 220,Zaldivar 220,*,F,F,101,F,F,269,269,T,F,F,269,269,220,0.02,0.08,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
94,Zaldivar 220->Escondida 220,T,*,*,Zaldivar 220,Escondida 220,*,F,F,101,F,F,293,293,T,F,F,293,293,220,1.0038,5.5216,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
95,Nueva Zaldivar 220->Sulfuros 220,T,*,*,Nueva Zaldivar 220,Sulfuros 220,*,F,F,101,F,F,293,293,T,F,F,293,293,220,1.2961,5.3209,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
96,Domeyko 220->Sulfuros 220,T,*,*,Domeyko 220,Sulfuros 220,*,F,F,101,F,F,293,293,T,F,F,293,293,220,0.0997,0.4093,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
97,Domeyko 220->Escondida 220,T,*,*,Domeyko 220,Escondida 220,*,F,F,101,F,F,246,246,T,F,F,246,246,220,0.7021,2.9085,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
98,Atacama 220->Domeyko 220,T,*,MesMay-2016,Atacama 220,Domeyko 220,BarB,F,F,101,F,F,512,512,T,F,F,246,246,220,10.1475,42.107,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
99,O'higgins 220->Palestina 220,T,*,*,O'higgins 220,Palestina 220,BarB,F,F,101,F,F,183,183,T,F,F,183,183,220,5.02,23.44,T,5,1,F,TxA,Cmn,F,F,*,0,0,30,CNE,SING,TxA,220
