ApeINum,ApeIAnoIni,ApeIAnoFin,ApeEtaNom,ApeIApe,ApeIHid,ApeHidPot
452,2,2,MesJun,4,48,1751.991
453,2,2,MesJun,5,4,1911.832
454,2,2,MesJun,6,39,1970.849
455,2,2,MesJun,7,3,2282.408
456,2,2,MesJun,8,20,2303.664
457,2,2,MesJun,9,8,2368.283
458,2,2,MesJun,10,5,2402.228
459,2,2,MesJun,11,30,2441.404
460,2,2,MesJun,12,52,2450.581
461,2,2,MesJun,13,51,2584.982
462,2,2,MesJun,14,19,2659.331
463,2,2,MesJun,15,40,2763.053
464,2,2,MesJun,16,11,2811.5
465,2,2,MesJun,17,12,2892.427
466,2,2,MesJun,18,25,2904.121
467,2,2,MesJun,19,29,2942.87
468,2,2,MesJun,20,28,3036.366
469,2,2,MesJun,21,37,3109.483
470,2,2,MesJun,22,2,3112.571
471,2,2,MesJun,23,31,3264.178
472,2,2,MesJun,24,24,3458.131
473,2,2,MesJun,25,18,3596.363
474,2,2,MesJun,26,50,3622.136
475,2,2,MesJun,27,17,3755.971
476,2,2,MesJun,28,14,3898.988
477,2,2,MesJun,29,1,3908.113
478,2,2,MesJun,30,7,3913.694
479,2,2,MesJun,31,53,3951.89
480,2,2,MesJun,32,45,4203.544
481,2,2,MesJun,33,49,4204.247
482,2,2,MesJun,34,16,4226.773
483,2,2,MesJun,35,43,4291.924
484,2,2,MesJun,36,15,4396.524
485,2,2,MesJun,37,26,4551.122
486,2,2,MesJun,38,35,4854.91
487,2,2,MesJun,39,42,5144.099
488,2,2,MesJun,40,55,5333.24
489,2,2,MesJun,41,32,5341.538
490,2,2,MesJun,42,23,5350.015
491,2,2,MesJun,43,22,5361.519
492,2,2,MesJun,44,21,5379.844
493,2,2,MesJun,45,27,5385.38
494,2,2,MesJun,46,41,5391.515
495,2,2,MesJun,47,47,5391.526
496,2,2,MesJun,48,33,5396.003
497,2,2,MesJun,49,36,5400.952
498,2,2,MesJun,50,44,5401.338
499,2,2,MesJun,51,34,5405.207
500,2,2,MesJun,52,46,5413.911
501,2,2,MesJun,53,13,5417.04
502,2,2,MesJun,54,38,5417.524
503,2,2,MesJun,55,10,5420.465
504,2,2,MesJun,56,6,5425.788
505,2,2,MesJul,1,54,1611.063
506,2,2,MesJul,2,56,1675.883
507,2,2,MesJul,3,9,1839.339
508,2,2,MesJul,4,39,2017.838
509,2,2,MesJul,5,3,2194.71
510,2,2,MesJul,6,40,2293.56
511,2,2,MesJul,7,5,2307.458
512,2,2,MesJul,8,37,2307.59
513,2,2,MesJul,9,8,2567.848
514,2,2,MesJul,10,31,2571.368
515,2,2,MesJul,11,51,2595.94
516,2,2,MesJul,12,52,2614.169
517,2,2,MesJul,13,30,2653.422
518,2,2,MesJul,14,53,2753.26
519,2,2,MesJul,15,48,2865.929
520,2,2,MesJul,16,17,2935.705
521,2,2,MesJul,17,29,2997.282
522,2,2,MesJul,18,4,3151.27
523,2,2,MesJul,19,11,3450.795
524,2,2,MesJul,20,15,3584.432
525,2,2,MesJul,21,1,3592.482
526,2,2,MesJul,22,14,3618.43
527,2,2,MesJul,23,43,3744.867
528,2,2,MesJul,24,10,3796.966
529,2,2,MesJul,25,24,3821.897
530,2,2,MesJul,26,33,4037.242
531,2,2,MesJul,27,49,4149.808
532,2,2,MesJul,28,50,4178.831
533,2,2,MesJul,29,13,4234.149
534,2,2,MesJul,30,20,4324.057
535,2,2,MesJul,31,38,4412.684
536,2,2,MesJul,32,16,4618.639
537,2,2,MesJul,33,27,4620.137
538,2,2,MesJul,34,26,4717.837
539,2,2,MesJul,35,12,4741.444
540,2,2,MesJul,36,45,4874.103
541,2,2,MesJul,37,32,4888.996
542,2,2,MesJul,38,22,4944.11
543,2,2,MesJul,39,25,4958.457
544,2,2,MesJul,40,7,4973.527
545,2,2,MesJul,41,44,5031.7
546,2,2,MesJul,42,36,5182.302
547,2,2,MesJul,43,2,5245.236
548,2,2,MesJul,44,18,5298.137
549,2,2,MesJul,45,28,5314.908
550,2,2,MesJul,46,19,5318.455
