DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
72,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971958014,0.968790922,0.95617243,0.967712248,0.966339402,0.966970792,0.966744651,0.961424461,0.924290365,0.997314791,0.974542086,0.974299359
73,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034271539,1.050895814,1.003912608,1.017823122,0.99723414,1.057478989,0.995309188,0.995794281,1.094966758,0.931872315,0.996236,0.999603482
74,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962483967,0.965946093,0.951689753,0.982138953,0.959803366,0.918449147,0.965948424,0.949630183,0.918871789,0.978324956,0.954696625,0.956707535
75,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050461231,1.049635769,1.004447023,1.025993426,1.007799682,1.044084697,1.001842993,1.019576909,1.104081219,0.963955161,1.012812804,1.000046483
76,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946507766,0.943630752,0.967030246,0.979226273,0.971376468,0.899794249,0.969147991,0.967276017,0.93157362,0.982386433,0.977165097,0.966495836
77,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020492547,1.062172071,0.992241972,1.034290534,1.013019435,1.049796692,0.998282436,1.037473061,1.111173781,0.97601335,1.013477159,1.024627527
78,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.91357908,0.917888743,0.973327385,0.958677682,0.937882394,0.855943299,0.983089649,0.994279397,0.950438251,0.989862318,0.979763254,0.978966975
79,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050405168,1.066566192,1.001004216,1.038274585,1.019674774,1.104278396,1.021287091,1.063404093,1.145100309,1.031278217,1.058336311,1.046377272
80,F,2019,2019,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951158147,0.932208526,0.987238781,0.95043385,0.960148832,0.91514584,1.016368146,1.036624763,0.984974833,1.035532275,1.032494942,1.027862164
81,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066250902,1.0537892,1.027161889,1.058971751,1.032167045,1.082309253,1.016587904,1.05005789,1.135714158,1.025469286,1.028957068,1.012597448
