DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
118,F,2029,2029,Cerro Navia 110,0,F,EtaMes,95.99755593,99.43758733,96.89690576,99.39462099,100.1867141,94.12417519,101.367692,96.66334799,103.5776668,103.003587,93.83672553,95.33811062
119,F,2030,2030,Cerro Navia 110,0,F,EtaMes,96.6174715,100.0650512,97.51765655,100.0251517,100.8309676,94.7178786,102.015157,97.27964038,104.2375983,103.2547797,94.06478484,95.56932815
120,F,2031,*,Cerro Navia 110,0,F,EtaMes,96.85526198,100.2965611,97.7526918,100.2599719,101.0764435,94.93679922,102.2590658,97.51164298,104.4853188,104.930919,95.59094697,97.12028625
121,F,2017,2017,Cerro Navia 220,0,F,EtaMes,2.283485293,2.630003759,2.397536883,2.57789333,2.45781749,2.466753694,2.561830728,2.505126859,2.676648471,2.656319404,2.383298791,2.565187079
122,F,2018,2018,Cerro Navia 220,0,F,EtaMes,2.409000769,2.774566185,2.52932139,2.719591422,2.592915419,2.602342816,2.702645913,2.642825224,2.8237748,2.744182023,2.462130755,2.65003533
123,F,2019,2019,Cerro Navia 220,0,F,EtaMes,2.488682872,2.866340032,2.612983318,2.809546879,2.678680835,2.68842006,2.792040866,2.730241499,2.917176312,2.792664085,2.505629756,2.696854082
124,F,2020,2020,Cerro Navia 220,0,F,EtaMes,2.532650975,2.916980286,2.659147464,2.859183756,2.726005673,2.735916964,2.84136846,2.77847727,2.968714702,2.810996671,2.52207809,2.714557719
125,F,2021,2021,Cerro Navia 220,0,F,EtaMes,2.549276692,2.936128953,2.676603573,2.877953014,2.743900677,2.753877031,2.860020769,2.796716727,2.988202982,2.835417005,2.543988465,2.738140246
126,F,2022,2022,Cerro Navia 220,0,F,EtaMes,2.571423352,2.961636365,2.699856377,2.902955026,2.767738119,2.777801142,2.884866997,2.821013005,3.014162783,2.856368662,2.562786677,2.758373099
127,F,2023,2023,Cerro Navia 220,0,F,EtaMes,2.590424289,2.98352069,2.719806339,2.924405739,2.788189678,2.798327059,2.906184052,2.841858226,3.03643524,2.891537447,2.59434076,2.792335322
128,F,2024,2024,Cerro Navia 220,0,F,EtaMes,2.622318657,3.020255023,2.753293713,2.960412225,2.822519016,2.832781212,2.941966185,2.876848352,3.073821079,2.947681233,2.644714002,2.846552942
129,F,2025,2025,Cerro Navia 220,0,F,EtaMes,2.673235134,3.078898065,2.806753278,3.017893324,2.8773227,2.887784153,2.999089125,2.932706927,3.133504191,3.024033333,2.713218515,2.920285574
130,F,2026,2026,Cerro Navia 220,0,F,EtaMes,2.742478414,3.158649,2.879455002,3.096064088,2.951852343,2.962584774,3.076772815,3.008671156,3.214669557,3.090742331,2.773071059,2.984705936
131,F,2027,2027,Cerro Navia 220,0,F,EtaMes,2.802976419,3.228327567,2.942974658,3.164362056,3.016969056,3.02793824,3.144645225,3.07504127,3.285583915,3.158354454,2.833733904,3.04999844
132,F,2028,2028,Cerro Navia 220,0,F,EtaMes,2.864293465,3.298949462,3.007354262,3.233584662,3.082967338,3.09417648,3.213436511,3.142309922,3.357458333,3.2216043,2.890482833,3.111078326
133,F,2029,2029,Cerro Navia 220,0,F,EtaMes,2.921654386,3.365014892,3.067580147,3.298341083,3.144707466,3.156141085,3.277789441,3.205238457,3.424695473,3.213139333,2.882887908,3.102903773
134,F,2030,2030,Cerro Navia 220,0,F,EtaMes,2.913977556,3.356173105,3.059519888,3.289674485,3.136444551,3.147848127,3.269176844,3.196816492,3.415696872,3.191613215,2.863574277,3.082116167
135,F,2031,*,Cerro Navia 220,0,F,EtaMes,2.894455643,3.333688745,3.039022928,3.267635627,3.115432242,3.12675942,3.247275308,3.175399727,3.392813738,3.213482927,2.883196187,3.103235579
136,F,2017,2017,Charrua 220,0,F,EtaMes,238.4517763,274.7918631,258.8246632,270.0894441,270.9157193,264.6746647,267.3814396,261.3604743,267.5746896,276.1364072,252.1538745,273.3802401
137,F,2018,2018,Charrua 220,0,F,EtaMes,250.5503516,287.1294828,272.5404068,284.4407784,284.2321501,279.2679022,287.3837576,279.4346227,284.3666127,289.4363473,264.3190778,283.4228491
138,F,2019,2019,Charrua 220,0,F,EtaMes,252.5047778,293.6718288,279.6247358,291.0561056,290.8846252,285.7627234,291.6664839,285.7711274,292.8699701,299.9827975,275.0780077,287.5734628
139,F,2020,2020,Charrua 220,0,F,EtaMes,259.0054222,301.1110883,284.1204803,297.0021564,297.9349616,292.5384302,299.0385876,291.3205672,299.2105072,304.3131302,272.3924564,290.830744
140,F,2021,2021,Charrua 220,0,F,EtaMes,261.5736292,298.2688058,283.9928739,295.7595978,298.7765885,292.1173081,301.669801,294.7946817,302.9949875,293.0573267,264.3252715,299.1937977
141,F,2022,2022,Charrua 220,0,F,EtaMes,267.4201644,311.0656961,296.0651153,306.5236651,301.649789,298.0061446,308.5531169,300.3435025,308.4473296,293.5750093,270.2725161,304.9833914
142,F,2023,2023,Charrua 220,0,F,EtaMes,274.9745166,315.1416554,300.0652546,307.4687268,307.1868556,303.7200144,311.8158482,305.0173658,314.0063321,300.051118,275.298861,317.4306021
143,F,2024,2024,Charrua 220,0,F,EtaMes,288.6956783,319.1290861,300.846757,313.4671002,310.0839846,303.7808258,317.3638552,309.7648327,324.6439877,303.6932935,279.5401908,323.8642785
144,F,2025,2025,Charrua 220,0,F,EtaMes,293.5286883,326.6547716,314.2397053,325.1804771,319.5388974,316.475185,330.2511951,320.7009807,327.1451719,313.652773,289.8441143,334.5800471
145,F,2026,2026,Charrua 220,0,F,EtaMes,304.0844615,338.1502522,323.236609,337.9698862,334.4101836,326.0913966,340.4857667,327.1883775,338.8461802,323.8330948,296.2934566,343.9352502
146,F,2027,2027,Charrua 220,0,F,EtaMes,313.5791398,349.045739,333.6723143,347.0522563,343.968627,337.4683734,345.7275988,339.1914977,351.830727,330.5591732,304.9061989,350.2031059
147,F,2028,2028,Charrua 220,0,F,EtaMes,322.0316128,355.8337595,342.7990906,356.6385903,352.4310461,347.8055584,363.1377516,354.264247,364.7634676,345.5827523,317.7364758,359.6934829
